pelvis,shoulder,elbow,wrist,x,y,z
-1.57,-1.32,-0.32000000000000006,1.57,-0.06066113334130273,-0.03909592791346557,-0.03472954739487752
-1.57,-1.32,-0.07000000000000006,0.0,-0.06085241066528083,-0.2792954097995241,-0.14780052657536155
-1.57,-1.32,-0.07000000000000006,0.25,-0.06080613322346474,-0.22118179070419036,-0.15945373345068622
-1.57,-1.32,-0.07000000000000006,0.5,-0.06075899858590381,-0.16199173468731654,-0.1563671263354958
-1.57,-1.32,-0.07000000000000006,0.75,-0.060713937356068684,-0.10540539274965428,-0.13873261551047447
-1.57,-1.32,-0.07000000000000006,1.0,-0.06067375122297999,-0.054941029561394114,-0.10764662944735634
-1.57,-1.32,-0.07000000000000006,1.25,-0.0606409387657548,-0.013736274805411189,-0.06504194419702022
-1.57,-1.32,-0.07000000000000006,1.5,-0.06061754010405883,0.015646959439553847,-0.013567512735891657
-1.57,-1.32,-0.07000000000000006,1.57,-0.060612889554290755,0.021486959819862685,0.0020093575604485936
-1.57,-1.32,0.17999999999999994,0.0,-0.060775943920501604,-0.1832711028116938,-0.1669728403741987
-1.57,-1.32,0.17999999999999994,0.25,-0.06072880928294068,-0.12408104679481989,-0.1638862332590084
-1.57,-1.32,0.17999999999999994,0.5,-0.06068374805310555,-0.06749470485715763,-0.1462517224339869
-1.57,-1.32,0.17999999999999994,0.75,-0.06064356192001685,-0.01703034166889751,-0.11516573637086916
-1.57,-1.32,0.17999999999999994,1.0,-0.060610749462791665,0.024174413087085393,-0.07256105112053265
-1.57,-1.32,0.17999999999999994,1.25,-0.060587350801095695,0.05355764733205059,-0.021086619659404338
-1.57,-1.32,0.17999999999999994,1.5,-0.060574820750383625,0.06929245387602818,0.036057127176620546
-1.57,-1.32,0.17999999999999994,1.57,-0.06057338364240639,0.07109712462510628,0.05259458997236921
-1.57,-1.32,0.42999999999999994,0.0,-0.06069807712009998,-0.0854886541470777,-0.16179233210084012
-1.57,-1.32,0.42999999999999994,0.25,-0.06065301589026485,-0.028902312209415373,-0.1441578212758187
-1.57,-1.32,0.42999999999999994,0.5,-0.060612829757176155,0.021562050978844692,-0.11307183521270073
-1.57,-1.32,0.42999999999999994,0.75,-0.06058001729995097,0.06276680573482764,-0.0704671499623645
